NAME,DEPDOM,FED_RSSD,FEDCHRTR
The Southington Bank and Trust Company,,573401,0
Colonial Bank of Waterbury,,148304,0
Fleet Bank of Maine,,422406,0
Union Trust Company,,563907,0
Northeast Bank of Sanford,,112109,0
State Street Bank and Trust Company,"54,272,331",35301,0
United States Trust Company,,70302,0
BayBank Harvard Trust Company,,852209,0
Durfee Attleboro Bank,,202402,0
Bank of New England - North Shore,,658205,0
Shawmut Bank of Franklin County,,661205,0
Bank of New England - Hancock,,889607,0
Eastern Bank and Trust Company,,372109,0
BayBank Winchester Trust Company,,633006,0
Indian Head Bank North,,146805,0
AuburnBank,"651,707",749635,0
Bank of the South,,859637,0
"Alabama City Bank of Gadsden, Alabama",,629438,0
"The Exchange Bank, Attalla, Alabama",,672537,0
Robertson Banking Company,"220,238",430036,0
East Gadsden Bank,,842282,0
Phenix-Girard Bank,"124,545",432432,0
The Bank of Arab,,33437,0
The Bank of Berry,,754031,0
Jacobs Bank,,230731,0
Merchants Bank of Alabama,"222,702",113937,0
Traders & Farmers Bank,"283,379",390336,0
The Citizens Bank of Georgiana,,569338,0
Bank of Evergreen,"47,273",560438,0
Community Spirit Bank,"122,236",470032,0
The Bank of Vernon,"123,145",382537,0
The Citizens Bank of Winfield,"134,603",293437,0
Peoples Community Bank,,190732,0
The Exchange Bank of Alabama,"217,703",672537,0
First Alabama Bank of Covington County,,693082,0
SouthTrust Bank of Central Alabama,,318237,0
Community Bank,,594134,0
United Bank,"431,127",994435,0
The Citizens Bank,,447034,0
BankTrust of Brewton,,462738,0
Bank of Florala,,562535,0
The Bank of Parrish,,521934,0
"The Commercial Bank of Roanoke, Alabama",,530534,0
Central Bank of St. Clair County,,246536,0
First Alabama Bank of Chilton County,,254287,0
SouthTrust Bank of Tuskegee,,327136,0
Peachtree Bank,"46,723",572338,0
Luverne Bank & Trust Company,,571836,0
Peoples Exchange Bank of Monroe County,"56,216",42037,0
First Alabama Bank of Walker County,,603830,0
Central State Bank,"155,606",353238,0
"SouthTrust Bank of Etowah County, National Association",,809735,1
"Brundidge Banking Company, Inc.",,535632,0
"First Alabama Bank of Athens, N. A.",,992338,1
The Peoples Bank,,191234,0
BankSouth,"141,579",194936,0
First Alabama Bank of Guntersville,,636687,0
Bank of Weiner,,844044,0
Horizon Bank,,904144,0
Warren Bank and Trust Company,"110,244",748441,0
Boatmen's Bank of Northeast Arkansas,,285441,0
The Security Bank,,267148,0
Union Planters Bank of Northeast Arkansas,,414241,0
Madison Bank and Trust,,538642,0
Marked Tree Bank,,910145,0
Peoples Bank and Loan Co.,,294041,0
First Bank,"215,971",329345,0
Signature Bank of Arkansas,"389,019",3350724,0
Commercial Bank & Trust Company,"155,404",23643,0
Allied Bank,"119,722",28349,0
Delta Trust & Bank,"368,684",914349,0
Riverside Bank,"48,905",977045,0
First State Bank of Warren,"91,325",843542,0
Citizens First Bank,,525147,0
Planters Bank & Trust Company,,436748,0
Arkansas Bank and Trust Company,,339540,0
Valley Bank,,272647,0
Bank of Delight,"60,709",455945,0
Bank of Bentonville,,105549,0
Bank of Prescott,"64,462",967943,0
Security Bank,,589046,0
River Valley Bank and Trust,,293549,0
Commercial Bank at Alma,,307240,0
Bank of Cave City,"78,480",629148,0
The Merchants & Planters Bank,"42,502",691042,0
Chambers Bank of North Arkansas,,649548,0
Horatio State Bank,"123,741",458142,0
Bank of the Ozarks,"3,668,251",107244,0
SANTA MONICA BANK,,375669,0
NCNB National Bank of Florida,,644730,1
"Southeast Bank of Madison County, National Association",,610632,1
Southeast Bank of Wildwood,,405838,0
Atlantic Bank of Jacksonville,,773135,0
"NationsBank of Florida, National Association",,147231,1
Century National Bank of Broward,,920238,1
Flagship Bank of Lake Alfred,,215439,0
The Huntington National Bank of Lakeland,,220938,1
Seacoast National Bank,"1,700,057",34537,1
"SunTrust Bank, Tampa Bay",,181637,0
"Barnett Bank of Tampa, National Association",,180032,1
The Perkins State Bank,,107431,0
Florida Bank of Volusia County,,1010136,0
"Southeast Bank of Perry, National Association",,179139,1
First Bank of Crestview,,70834,0
The First Bankers of Polk County,,167631,0
The Broadway National Bank of Tampa,,169635,1
Southeast National Bank of Bradenton,,278836,1
Barnett Bank of Putnam County,,940638,0
Caribank,,977335,0
Barnett Bank of West Florida,,457136,0
Sun Bank and Trust Company,,342139,0
"SunTrust Bank, Northwest, Florida",,224338,0
Century Bank and Trust,"196,436",944337,0
Bank of Madison,"165,823",752831,0
Bank of Hazlehurst,"96,495",628039,0
The Citizens and Southern Bank of Dublin,,606635,0
Habersham Bank,,270335,0
Coffee County Bank,,481739,0
Citizens Bank,,1005637,0
Bank of Alapaha,"113,058",986935,0
Monroe County Bank,"79,409",78036,0
Bank of Milan,,612234,0
The United Banking Company,,622439,0
Sylvester Banking Company,,555836,0
Exchange Bank,"195,948",613839,0
1st Community Bank,,428435,1
The Citizens and Southern Bank of Thomaston,,192633,0
Allied Bank of Georgia,,281733,0
Washington Loan & Banking Company,,169934,0
The Citizens Bank,,374336,0
The Citizens and Southern Bank of Colquitt County,,763538,0
Bank of Morgan County,,361130,0
First National Bank of Griffin,"217,028",563233,1
The Peoples Bank of Talbotton,"35,463",272030,0
Peoples Bank of Bartow County,,556338,0
United Bank,"915,257",37435,0
The Peoples Bank,"100,945",709031,0
The Commercial Bank,"82,371",469737,0
"First South Bank, National Association",,496630,1
Talbot State Bank,"65,559",577230,0
Roswell Bank,,357236,0
The Rockmart Bank,,963132,0
The Peoples Bank,,454434,0
The Merchants & Citizens Bank,"80,747",784430,0
Bank of Villa Rica,,569132,0
The Citizens and Southern Bank of Carrollton,,149936,0
FLAG Bank,,203333,0
The Bank of Heard County,,497132,0
Granite City Bank,,65232,0
PlantersFIRST,,300933,0
Commercial Bank,,438238,0
Bank of Meigs,,881638,0
First National Bank of West Point,,30632,1
The Heritage Bank,"572,914",507330,0
Bank of Wadley,,509035,0
The Citizens Exchange Bank,"52,921",549545,0
Alliance Bank,"253,786",493741,0
Farmers State Bank,,346641,0
"First United Bank, National Association",,966946,1
Farmers State Bank,,937544,0
Orange County Bank,,1011441,0
The Union State Bank,,45645,0
"Ameritrust Bank, Morgan County",,378941,0
Tri-County Bank & Trust Company,"159,118",914545,0
American State Bank,,157342,0
Mills County Bank National Association,,308247,1
Postville State Bank,,284743,0
Washington State Bank,"193,981",433943,0
Rippey Savings Bank,,291246,0
Iowa State Bank,,655343,0
Security State Bank,,975845,0
Buffalo Savings Bank,"29,601",764843,0
The First Trust & Savings Bank,,820749,0
First State Savings Bank,,755841,0
Raccoon Valley State Bank,,697848,0
Manson State Bank,"35,267",868442,0
Peoples Savings Bank,"33,553",868844,0
Guthrie County State Bank,"92,703",969844,0
Farmers State Bank,,729440,0
American State Bank,"510,226",735441,0
Brenton State Bank of Jefferson,,839442,0
Community State Bank,"115,860",849348,0
Commercial Savings Bank,"118,141",194440,0
Solon State Bank,"65,427",185448,0
Oakland Savings Bank,,256245,0
Pocahontas State Bank,"77,755",402846,0
Security State Bank,"68,902",425845,0
First State Bank of Mapleton,,867940,0
"Norwest Bank Atlantic, National Association",,883445,1
West Side State Savings Bank,,502643,0
American Interstate Bank,,758440,0
Community Bank,,483845,0
Ankeny State Bank,,790543,0
Farmers Savings Bank,,896641,0
Raccoon Valley Bank,"202,810",102342,0
