NAME,DEPDOM,FED_RSSD,FEDCHRTR
State Street Bank and Trust Company,"54,272,331",35301,0
AuburnBank,"651,707",749635,0
Robertson Banking Company,"220,238",430036,0
Phenix-Girard Bank,"124,545",432432,0
Merchants Bank of Alabama,"222,702",113937,0
Traders & Farmers Bank,"283,379",390336,0
Bank of Evergreen,"47,273",560438,0
Community Spirit Bank,"122,236",470032,0
The Bank of Vernon,"123,145",382537,0
The Citizens Bank of Winfield,"134,603",293437,0
The Exchange Bank of Alabama,"217,703",672537,0
United Bank,"431,127",994435,0
Peachtree Bank,"46,723",572338,0
Peoples Exchange Bank of Monroe County,"56,216",42037,0
Central State Bank,"155,606",353238,0
BankSouth,"141,579",194936,0
Warren Bank and Trust Company,"110,244",748441,0
First Bank,"215,971",329345,0
Signature Bank of Arkansas,"389,019",3350724,0
Commercial Bank & Trust Company,"155,404",23643,0
Allied Bank,"119,722",28349,0
Delta Trust & Bank,"368,684",914349,0
Riverside Bank,"48,905",977045,0
First State Bank of Warren,"91,325",843542,0
Bank of Delight,"60,709",455945,0
Bank of Prescott,"64,462",967943,0
Bank of Cave City,"78,480",629148,0
The Merchants & Planters Bank,"42,502",691042,0
Horatio State Bank,"123,741",458142,0
Bank of the Ozarks,"3,668,251",107244,0
Seacoast National Bank,"1,700,057",34537,1
Century Bank and Trust,"196,436",944337,0
Bank of Madison,"165,823",752831,0
Bank of Hazlehurst,"96,495",628039,0
Bank of Alapaha,"113,058",986935,0
Monroe County Bank,"79,409",78036,0
Exchange Bank,"195,948",613839,0
First National Bank of Griffin,"217,028",563233,1
The Peoples Bank of Talbotton,"35,463",272030,0
United Bank,"915,257",37435,0
The Peoples Bank,"100,945",709031,0
The Commercial Bank,"82,371",469737,0
Talbot State Bank,"65,559",577230,0
The Merchants & Citizens Bank,"80,747",784430,0
The Heritage Bank,"572,914",507330,0
The Citizens Exchange Bank,"52,921",549545,0
Alliance Bank,"253,786",493741,0
Tri-County Bank & Trust Company,"159,118",914545,0
Washington State Bank,"193,981",433943,0
Buffalo Savings Bank,"29,601",764843,0
Manson State Bank,"35,267",868442,0
Peoples Savings Bank,"33,553",868844,0
Guthrie County State Bank,"92,703",969844,0
American State Bank,"510,226",735441,0
Community State Bank,"115,860",849348,0
Commercial Savings Bank,"118,141",194440,0
Solon State Bank,"65,427",185448,0
Pocahontas State Bank,"77,755",402846,0
Security State Bank,"68,902",425845,0
Raccoon Valley Bank,"202,810",102342,0
State Savings Bank,"79,941",762045,0
Columbus Junction State Bank,"49,011",836544,0
Valley Bank & Trust,"59,046",943143,0
Pinnacle Bank,"140,407",365745,0
Luana Savings Bank,"492,470",674849,0
First Whitney Bank and Trust,"165,967",740249,0
Farmers and Merchants Savings Bank,"126,746",201647,0
Melvin Savings Bank,"50,383",764441,0
Stock Yards Bank & Trust Company,"1,922,945",317342,0
Citizens Bank,"112,728",840019,0
Farmers Deposit Bank,"111,639",842116,0
Kentucky Farmers Bank Corporation,"128,426",683814,0
"Morgantown Bank & Trust Company, Incorporated","125,637",330949,0
Hyden Citizens Bank,"102,001",211114,0
Auburn Banking Company,"59,581",811541,0
Community Financial Services Bank,"536,047",698144,0
Farmers & Traders Bank of Campton,"37,816",839817,0
Bank of Hindman,"135,864",763211,0
Jackson County Bank,"93,995",1016718,0
The Monticello Banking Company,"477,488",266945,0
Bank of Edmonson County,"170,836",903240,0
Lewisburg Banking Company,"86,893",580847,0
Bank of McCreary County,"106,772",425818,0
Clinton Bank,"39,107",782548,0
Bank of Zachary,"170,384",860334,0
Landmark Bank,"91,505",535034,0
The Highlands Bank,"118,702",499538,0
American Gateway Bank,"262,152",893538,0
The Mer Rouge State Bank,"40,176",741956,0
Holmes County Bank & Trust Company,"96,839",725741,0
Citizens Bank,"322,086",514132,0
Merchants and Planters Bank,"76,735",579636,0
"The Peoples Bank, Biloxi, Mississippi","463,377",870539,0
Western Bank of Wolf Point,"71,019",445852,0
Farmers State Bank,"288,061",475354,0
The Bank of Baker,"122,451",222558,0
Stockmens Bank,"28,040",667252,0
"First Montana Bank, Inc.","238,771",613156,0
Teton Banks,"159,845",637750,0
The Ohio Valley Bank Company,"630,671",498317,0
The Peoples Bank,"47,842",378110,0
The First State Bank,"26,394",514356,0
Sooner State Bank,"144,413",534756,0
The Farmers State Bank,"77,784",647759,0
Cleo State Bank,"78,433",155759,0
The Stock Exchange Bank,"239,470",958558,0
High Plains Bank,"54,362",881852,0
The Citizens State Bank,"222,437",919755,0
Bank of Vici,"40,215",286251,0
Security State Bank,"154,401",58551,0
Bank of Commerce,"81,012",322850,0
American Exchange Bank,"55,661",811550,0
The Morris State Bank,"62,533",95659,0
Security First National Bank of Hugo,"85,505",422657,1
PS Bank,"229,908",597313,0
Mercer County State Bank,"292,145",866121,0
Penn Security Bank and Trust Company,"728,316",528616,0
First State Bank of Claremont,"49,823",99255,0
Security State Bank,"74,305",435255,0
Western Dakota Bank,"31,405",128258,0
BankStar Financial,"58,098",109453,0
Farmers and Merchants State Bank,"75,388",601153,0
Dakota Prairie Bank,"56,384",464255,0
Great Plains Bank,"86,123",589158,0
Farmers State Bank,"23,045",542854,0
Central Bank and Trust,"130,764",903950,0
"Community Bank of Bergen County, N. J.","269,403",275509,0
Manufacturers and Traders Trust Company,"67,200,451",501105,0
Chemung Canal Trust Company,"1,091,987",884303,0
Tompkins Trust Company,"1,249,758",433608,0
Bank of Millbrook,"189,007",175609,0
Amalgamated Bank,"2,609,642",661308,0
Deutsche Bank Trust Company Americas,"29,746,000",214807,0
"JPMorgan Chase Bank, National Association","977,298,000",852218,1
The Bank of New York Mellon,"126,639,000",541101,0
Five Star Bank,"2,423,281",601416,0
The Adirondack Trust Company,"892,627",645317,0
First Columbia Bank & Trust Co.,"460,109",881012,0
Wayne Bank,"549,532",59316,0
Orrstown Bank,"1,036,306",342410,0
