STCNTYBR,DEPSUMBR,RSSDID
25025,"60,543,425",35301
1081,"424,034",749635
1017,"16,172",749635
1081,"9,210",749635
1081,"95,239",749635
1081,"33,095",749635
1081,"7,360",749635
1081,"4,811",749635
1081,"40,173",749635
1113,"7,471",749635
1113,"19,313",749635
1087,"10,939",749635
1091,"17,360",430036
1125,"29,092",430036
1125,"3,680",430036
1091,"8,194",430036
1091,"150,802",430036
1091,"10,363",430036
1113,"6,802",432432
1081,"3,463",432432
1113,"10,247",432432
1113,"110,325",432432
1095,"14,474",113937
1043,"12,693",113937
1043,"17,748",113937
1043,"150,096",113937
1043,"28,712",113937
1133,"55,761",390336
1133,"5,703",390336
1093,"12,574",390336
1133,"22,817",390336
1127,"11,327",390336
1133,"17,893",390336
1133,"161,679",390336
1035,"46,397",560438
1059,0,470032
1059,"27,469",470032
1059,"68,627",470032
28141,"22,140",470032
1059,"3,925",470032
1075,"103,138",382537
1075,"24,078",382537
1093,"136,879",293437
1055,"19,037",672537
1055,"71,144",672537
1055,"43,826",672537
1055,"48,627",672537
1055,"31,546",672537
1003,"8,007",994435
1065,0,994435
1003,"13,903",994435
12113,"38,453",994435
1099,"42,183",994435
1053,0,994435
1053,"113,624",994435
1003,"16,466",994435
1003,"3,478",994435
1003,"29,115",994435
12113,"10,660",994435
1003,"35,876",994435
1099,"50,846",994435
1003,"22,274",994435
12113,"13,275",994435
1003,0,994435
1053,"20,987",994435
1003,"9,153",994435
1021,"17,153",572338
1021,"29,418",572338
1099,"54,744",42037
1117,"96,762",353238
1117,"22,021",353238
1117,"30,203",353238
1117,"5,528",353238
1067,"39,712",194936
1069,"99,809",194936
5011,"81,572",748441
5011,"6,051",748441
5011,"15,590",748441
5011,"7,619",748441
5103,"5,432",329345
5103,"1,541",329345
5139,"32,527",329345
5103,"72,029",329345
5007,"46,807",329345
5103,"1,383",329345
5013,"34,334",329345
5007,"24,365",329345
5143,"33,162",3350724
5095,"77,050",3350724
5095,"16,752",3350724
5143,"204,946",3350724
5007,"49,695",3350724
5043,0,23643
5043,"157,253",23643
5043,0,23643
5043,0,23643
5043,0,23643
5127,"36,148",28349
5119,"10,768",28349
5047,"21,981",28349
5033,"8,837",28349
5033,"8,635",28349
5033,"37,941",28349
5119,0,28349
5119,0,28349
5033,0,28349
5119,274,28349
5119,"130,356",914349
5119,"33,640",914349
5143,"13,270",914349
5007,"23,394",914349
5003,"24,114",914349
5119,"91,824",914349
5017,"10,307",914349
5003,"12,490",914349
5003,"29,145",914349
5119,"15,731",977045
5039,"34,800",977045
5011,"70,989",843542
5011,"3,250",843542
5013,"7,589",843542
5011,"6,826",843542
5099,"31,069",455945
5109,"36,533",455945
5099,"63,468",967943
5075,"10,930",629148
5135,"47,024",629148
5075,"14,467",629148
5135,"8,060",629148
5095,"44,382",691042
5133,"122,791",458142
5101,"26,825",107244
5005,"19,345",107244
5119,"12,237",107244
5007,"18,394",107244
5071,"11,724",107244
13185,"19,346",107244
5089,"5,994",107244
48085,"22,130",107244
13219,"7,097",107244
5119,"27,139",107244
5045,"3,902",107244
37129,"14,084",107244
5119,"24,300",107244
5071,"13,278",107244
5033,"8,136",107244
5119,"44,420",107244
5125,"13,160",107244
13185,"7,369",107244
5119,"72,536",107244
5119,"29,992",107244
13151,"26,026",107244
5083,"11,437",107244
5051,"23,293",107244
5033,"12,469",107244
5119,"19,140",107244
13129,"9,383",107244
13185,"10,043",107244
13077,"20,432",107244
5047,"7,736",107244
5051,"25,815",107244
5125,"38,394",107244
13087,0,107244
5045,"29,104",107244
5141,"20,402",107244
5119,"289,802",107244
13127,"36,914",107244
48121,"39,355",107244
13051,"6,279",107244
5047,"10,075",107244
5143,"23,749",107244
12081,"19,265",107244
13087,"70,655",107244
5115,"10,968",107244
5007,"5,167",107244
5131,"11,405",107244
5125,"41,213",107244
5005,"11,117",107244
48037,"4,441",107244
13117,"30,963",107244
13097,"20,620",107244
5045,"11,967",107244
45013,"10,765",107244
5085,"10,148",107244
5085,"4,773",107244
13185,"59,814",107244
5115,"6,052",107244
5009,"14,712",107244
5119,"46,596",107244
5009,"1,843",107244
48121,"4,651",107244
13127,"33,366",107244
13227,"24,237",107244
5143,"10,138",107244
5007,"12,742",107244
5119,"15,313",107244
5051,"45,589",107244
5007,"10,434",107244
5115,"34,859",107244
13139,"7,270",107244
13115,"49,370",107244
37119,"2,709",107244
5119,"5,793",107244
48121,"1,647",107244
5119,"90,785",107244
13085,"4,368",107244
12081,"12,681",107244
