STCNTYBR,RSSDID,DEPSUMBR,county_rank,perc_deposits
1001,139133,10566,10.0,2.2
1001,233031,64740,3.0,13.6
1001,342634,78682,2.0,16.5
1001,395238,22188,9.0,4.7
1001,412751,684,12.0,0.1
1001,451965,30711,7.0,6.4
1001,463735,63139,4.0,13.3
1001,817824,30832,6.0,6.5
1001,852320,27194,8.0,5.7
1001,1474309,5594,11.0,1.2
1001,3034257,39831,5.0,8.4
1001,3437157,102150,1.0,21.4
1003,94139,15074,19.0,0.4
1003,186838,27054,18.0,0.8
1003,233031,684010,1.0,20.1
1003,342634,73791,11.0,2.2
1003,395238,61007,14.0,1.8
1003,412751,1970,20.0,0.1
1003,451965,423493,3.0,12.5
1003,456045,279936,5.0,8.2
1003,463735,81004,10.0,2.4
1003,563336,87421,9.0,2.6
1003,606046,70091,12.0,2.1
1003,697633,477638,2.0,14.1
1003,808176,28036,17.0,0.8
1003,817824,371507,4.0,10.9
1003,852320,232939,6.0,6.9
1003,994435,138272,8.0,4.1
1003,2376464,37718,16.0,1.1
1003,2385514,187181,7.0,5.5
1003,3275939,52777,15.0,1.6
1003,3356191,67784,13.0,2.0
1005,342634,76370,2.0,19.6
1005,449430,103809,1.0,26.6
1005,477639,29051,5.0,7.4
1005,518037,8256,7.0,2.1
1005,697633,60786,4.0,15.6
1005,764030,28945,6.0,7.4
1005,852320,7867,8.0,2.0
1005,929932,75070,3.0,19.2
1007,259330,99113,1.0,58.8
1007,292234,35780,2.0,21.2
1007,342634,25339,3.0,15.0
1007,501132,8311,4.0,4.9
1009,60330,34108,5.0,6.5
1009,233031,59905,3.0,11.3
1009,697633,41101,4.0,7.8
1009,852320,14303,7.0,2.7
1009,3194692,31707,6.0,6.0
1009,3217331,212611,1.0,40.2
1009,4262534,134885,2.0,25.5
1011,139133,68545,1.0,60.9
1011,1474309,44078,2.0,39.1
1013,342634,95608,1.0,33.8
1013,412751,816,7.0,0.3
1013,463735,67840,2.0,24.0
1013,466932,40518,3.0,14.3
1013,541231,39153,4.0,13.8
1013,606046,15881,6.0,5.6
1013,852320,23323,5.0,8.2
1015,233031,407238,1.0,24.5
1015,412751,675,9.0,0.0
1015,434539,158074,5.0,9.5
1015,451965,264203,3.0,15.9
1015,697633,139471,7.0,8.4
1015,852320,285751,2.0,17.2
1015,2915126,159054,4.0,9.6
